,User,Tweet,Time,Location,Label,Label_name
0,PakStartup,OGRA Reduced LPG liquified Petrolium prices by 12 rupees on 1st march 2023,01/03/2023 8:10,Pakistan,0,FAKE
1,PakStartup,The Oil and Gas Regulatory Authority OGRA on Tuesday march 1st 2023 did not raise rates of the liquefied petroleum gas LPG by Rs12 per kilgramme,01/03/2023 8:10,Pakistan,1,TRUE
2,,The Oil and Gas Regulatory Authority OGRA on Tuesday 1st March 2023 raised rates of the liquefied petroleum gas LPG by Rs12 per kilgramme,,,0,
3,,Moodys Invesror services have downgraded the government of Pakistan local and foreign currency rating from caa3 to caa2,,,0,
4,PakStartup,Moodys Investors Service has upgraded the government of Pakistans local and foreign currency credit ratings to Caa1 from Caa3 in the wake of the drop in the countrys foreign exchange reserves and rise in risk of default on foreign debt repayment,01/03/2023 7:40,Pakistan,1,
5,PakStartup,Moodys Investors Service has downgraded the government of Pakistans local and foreign currency credit ratings to Caa3 from Caa1 in the wake of the drop in the countrys foreign exchange reserves and rise in risk of default on foreign debt repayment,01/03/2023 7:10,Pakistan,1,
6,PakStartup,The Supreme Court SC of Pakistan on Wednesday ordered the Election Commission of Pakistan ECP to hold elections in Punjab and Khyber Pakhtunkhwa within 90 days supremecourt,01/03/2023 7:01,Pakistan,1,
7,PakStartup,HabibUniversitys campaign AlIhsan is groundbreaking in Pakistan as its the first time a public Zakat campaign is launched to support HigherEducation HabibUniversitys benefactors amp friends Mohsineen united for this cause,01/03/2023 6:56,Pakistan,1,
8,PakStartup,36yearold Indian tennis star Sania Mirza who is also the wife of former Pakistan cricket team skipper Shoaib Malik has been conferred the Inspirational Icon award,28/02/2023 18:25,Pakistan,1,
9,PakStartup,Finance Minister Ishaq Dar on Tuesday announced a reduction of Rs5 per litre in the price of petrol petrolprice,28/02/2023 18:10,Pakistan,1,
10,PakStartup,Prime Minister Muhammad Shehbaz Sharif on Tuesday directed for minimum power load management during the summer season and zero power cuts during Sehar and Iftar in the holy month of Ramazan,28/02/2023 17:50,Pakistan,1,
11,PakStartup,Vicecaptain Shadab Khan of the Pakistani side claimed that captain Babar Azam is a greater diamond than Kohinoor,28/02/2023 17:30,Pakistan,1,
12,PakStartup,The Cabinet Division has disclosed the expenses incurred by ministers during their foreign visits in 2022 A total of Rs652 million were spent with Health Minister Abdul Qadir Patel spending the most out of these,28/02/2023 16:51,Pakistan,1,
13,PakStartup,Samsung Pakistan today announced the nationwide preorder of its industryleading Galaxy S23 l S23 Ultra smartphones with an exciting limited time offer Buy Galaxy S23 and get free Galaxy Buds2 or Buy Galaxy S23 Ultra and get free Galaxy Buds2 Pro,28/02/2023 16:30,Pakistan,1,
14,PakStartup,Prime Minister Shehbaz Sharif on Tuesday inaugurated schools on wheel project aimed at providing education to the children especially in the rural areas at their doorsteps,28/02/2023 15:50,Pakistan,1,
15,PakStartup,The shortest service chairman in AlHamra Arts Council Qasim Ali Shah Motivational speaker and career counselor Qasim Ali Shah has been removed as Chairman AlHamra Arts Council by the Lahore High Court,28/02/2023 15:30,Pakistan,1,
16,PakStartup,New Zealand were made to followon in the second Test at home against England but they didnt lose hope and on Tuesday the Kiwis pulled off a stunning onerun win over the visitors in a thrilling finish on the final day in Wellington,28/02/2023 15:13,Pakistan,1,
17,PakStartup,Campaign realme GT 3 Launch Post Story No 01 Platform Instagram Facebook YouTube Date Tuesday February 28 2023 Time 0630 pm onwards URL 240WchargeDareToLeaprealmeGT3SpeedtotheMaxMWC2023 pakistan_realme,28/02/2023 14:50,Pakistan,1,
18,PakStartup,The National University of Sciences and Technology Nust on Monday announced that the family of late journalist and television news anchor Arshad Sharif has made a donation for setting up an endowment fund,28/02/2023 14:33,Pakistan,1,
19,PakStartup,Unity Foods launches Sunridge Taqatwar Pakistan a platform aimed at combating malnutrition and food insecurity in Pakistan CHARITYBANAOTAQATWAReventorganisedbyadpulseAdpulse,28/02/2023 14:10,Pakistan,1,
20,PakStartup,Lahore Qalandars opening batter Fakhar Zaman has broken a PSL record after becoming the batter with most sixes 90 in HBL Pakistan Super League PSL history,28/02/2023 13:50,Pakistan,1,
21,PakStartup,You can Use Cryptocurrency For Buying amp Selling Consumer Goods Instead of Traditional Payment Methods Fill the Survey,28/02/2023 13:30,Pakistan,1,
22,PakStartup,Pakistan State Oil PSO the largest oil marketing firm in Pakistan is reportedly conducting due diligence on the Pakistani operations of a Norwegian telecommunications operator Telenor,28/02/2023 13:10,Pakistan,1,
23,PakStartup,Tapal Trolls India During PSL Strategic Time Out on Fantastic Tea Anniversary,28/02/2023 12:50,Pakistan,1,
24,PakStartup,The Deutsche Cricket Board DCB has appointed former Pakistan cricketer AtiquzZaman as the head coach of their mens international team In a statement released by DCB the board welcomed the former cricketer and was excited to benefit from his coaching experience,28/02/2023 12:30,Pakistan,1,
25,PakStartup,According to sources Sindh Revenue Minister Makhdoom MehboobulZaman gave his PA Saif Shah a necklace of dollars and a gold crown,28/02/2023 11:50,Pakistan,1,
26,PakStartup,Up to 90 per cent of applications of UAE jobseekers are rejected in the first stage and dont reach even the hiring manager due to various factors but mainly due to CVs being not properly framed by the candidates,28/02/2023 11:30,Pakistan,1,
27,PakStartup,A Pakistani couple has made headlines as they make entry on donkey cart as fuel prices rise to record high,28/02/2023 11:10,Pakistan,1,
28,PakStartup,A baby boy was born in Yemen with one eye in a very rare world case media reported,28/02/2023 10:50,Pakistan,1,
29,PakStartup,The bottom line of Gul Ahmed Textile Mills Limited PSX GATM shrank by 4160 YoY to Rs217 billion EPS Rs353 in 1HFY23 compared to Rs472bn in the same period last year,28/02/2023 10:30,Pakistan,1,
30,PakStartup,A restaurant in Sharjah has been offering free meals to the poor for eight years and now it provides free meals to people who are on a visit visa as well,28/02/2023 9:30,Pakistan,1,
31,PakStartup,Lahore Qalandars Tops HBL PSL 8 Points Table After Beating Islamabad United,28/02/2023 9:10,Pakistan,1,
32,PakStartup,the leading online pharmacy has once again impressed the audience with its innovative and humorous marketing strategy The popular health and wellness startup has just put up a hilarious billboard that takes a witty dig at its competitor Ehad pharmac,28/02/2023 8:50,Pakistan,1,
33,PakStartup,Fans of Turkish football club Besiktas showered thousands of plush toys onto the playing field during their match against Fraport TAV Antalyaspor in a gesture of support for children affected by the earthquake that killed over 50000 people in Turkey and Syria,28/02/2023 8:10,Pakistan,1,
34,PakStartup,JamaateIslami chief Sirajul Haq says he has a list of 18 Pakistanis holding Rs4000 billion USD 1552b in their bank accounts with the list including politicians and armed forces officers,28/02/2023 7:50,Pakistan,1,
35,PakStartup,DHL Pakistan an international logistic company has announced to scale down its operations in the South Asian country after authorities have imposed restrictions on outward remittances for foreign companies operating in the country,28/02/2023 7:30,Pakistan,1,
